playerID,yearID,stint,teamID,lgID,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP
walkero01,1921,1,SLN,NL,38,54,2,11,2,0,0,2,0,0,2,20,,0,4,,
walketi01,1921,1,PHA,AL,142,556,89,169,32,5,23,101,3,5,73,41,,4,7,,
walshji03,1921,1,DET,AL,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
waltero01,1921,1,BOS,AL,54,169,17,34,4,1,0,14,3,0,10,11,,2,5,,
wambsbi01,1921,1,CLE,AL,107,410,80,117,28,5,2,47,13,7,44,27,,3,43,,
wardaa01,1921,1,NYA,AL,153,556,77,170,30,10,5,75,6,8,42,68,,8,29,,
wardch01,1921,1,BRO,NL,12,28,1,2,1,0,0,0,0,0,4,2,,0,2,,
warneho01,1921,1,CHN,NL,14,38,4,8,1,0,0,3,1,1,2,1,,1,0,,
warwibi01,1921,1,PIT,NL,1,1,0,0,0,0,0,0,0,0,0,0,,0,0,,
watsomu01,1921,1,BSN,NL,44,87,9,12,2,1,0,1,0,0,1,36,,0,6,,
weinele01,1921,1,PHI,NL,8,1,0,1,0,0,0,0,0,0,0,0,,0,0,,
welchfr01,1921,1,PHA,AL,115,403,48,115,18,6,7,45,6,0,34,43,,4,14,,
wetzedu01,1921,1,SLA,AL,61,119,16,25,2,0,2,10,0,0,9,20,,1,0,,
wheatma01,1921,1,PHI,NL,10,27,1,5,2,1,0,4,0,0,0,3,,2,0,,
wheatza01,1921,1,BRO,NL,148,568,91,182,31,10,14,85,11,8,44,19,,3,9,,
wheelri01,1921,1,PIT,NL,1,1,0,0,0,0,0,0,0,0,0,0,,0,0,,
whittpo01,1921,1,PIT,NL,108,403,60,114,23,7,7,63,5,10,26,21,,1,26,,
wieneja01,1921,1,CHA,AL,10,9,0,1,0,0,0,0,0,0,0,3,,0,0,,
wilheka01,1921,1,PHI,NL,4,2,0,0,0,0,0,0,0,0,0,1,,0,0,,
wilkiro01,1921,1,CHA,AL,36,65,2,8,1,2,0,3,1,0,4,19,,0,0,,
willicy01,1921,1,PHI,NL,146,562,67,180,28,6,18,75,5,15,30,32,,2,9,,
willide01,1921,1,CIN,NL,10,7,0,0,0,0,0,0,0,1,0,2,,0,0,,
willike01,1921,1,SLA,AL,146,547,115,190,31,7,24,117,20,17,74,42,,4,21,,
